ID,Program.Code,From.Grade,To.Grade,Group.State,Is.Non.Annual.,Days,Travel.Type,Departure.Date,Return.Date,Deposit.Date,Special.Pay,Tuition,FRP.Active,FRP.Cancelled,FRP.Take.up.percent.,Early.RPL,Latest.RPL,Cancelled.Pax,Total.Discount.Pax,Initial.System.Date,Poverty.Code,Region,CRM.Segment,School.Type,Parent.Meeting.Flag,MDR.Low.Grade,MDR.High.Grade,Total.School.Enrollment,Income.Level,EZ.Pay.Take.Up.Rate,School.Sponsor,SPR.Product.Type,SPR.New.Existing,FPP,Total.Pax,SPR.Group.Revenue,NumberOfMeetingswithParents,FirstMeeting,LastMeeting,DifferenceTraveltoFirstMeeting,DifferenceTraveltoLastMeeting,SchoolGradeTypeLow,SchoolGradeTypeHigh,SchoolGradeType,DepartureMonth,GroupGradeTypeLow,GroupGradeTypeHigh,GroupGradeType,MajorProgramCode,SingleGradeTripFlag,FPP.to.School.enrollment,FPP.to.PAX,Num.of.Non_FPP.PAX,SchoolSizeIndicator,Retained.in.2012.
11,CD,8,8,FL,0,4,A,2/7/2011,2/10/2011,9/30/2010,NA,999,47,1,0.566,9/2/2010,9/2/2010,1,4,3/31/2010,,Other,10,CHD,1,K,12,746,O,0.096,1,East Coast,EXISTING,83,87,999,1,9/9/2010,9/9/2010,151,151,Middle,Middle,Middle->Middle,February,K,High,K->High,C,1,0.111260054,0.954022989,4,M-L,1
12,HD,8,8,FL,0,4,A,2/7/2011,2/10/2011,10/15/2010,NA,1388,32,0,0.8,2/11/2010,8/20/2010,0,5,2/11/2010,,Other,10,CHD,1,PK,8,650,L,0.3,1,East Coast,EXISTING,40,45,1388,1,9/14/2010,9/14/2010,146,146,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.061538462,0.888888889,5,M-L,1
13,HD,8,8,CA,0,6,A,2/12/2011,2/17/2011,10/15/2010,NA,2278,10,6,0.455,2/24/2010,8/27/2010,6,1,2/24/2010,A,Northern California,5,PUBLIC,1,6,8,670,Q,0.136,0,East Coast,EXISTING,22,23,2278,1,9/15/2010,9/15/2010,150,150,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.032835821,0.956521739,1,M-L,1
14,HD,8,8,CA,0,6,A,2/12/2011,2/17/2011,10/9/2010,NA,2339,20,1,0.625,3/1/2010,8/23/2010,2,4,2/27/2010,B,Northern California,5,PUBLIC,1,6,8,750,L,0.125,0,East Coast,EXISTING,32,36,2339,1,9/1/2010,9/1/2010,164,164,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.042666667,0.888888889,4,M-L,1
15,HD,5,5,CA,0,6,A,2/13/2011,2/18/2011,10/15/2010,NA,2235,21,1,0.636,2/1/2010,8/31/2010,2,4,1/26/2010,,Northern California,7,PUBLIC,1,,NA,,P5,0.091,0,East Coast,EXISTING,33,37,2235,1,9/9/2010,9/9/2010,157,157,Elementary,Elementary,Elementary->Elementary,February,Undefined,Undefined,Undefined->Undefined,H,1,NA,0.891891892,4,,1
16,SG,8,8,VA,0,5,A,2/15/2011,2/19/2011,10/15/2010,NA,1830,22,1,0.733,4/15/2010,8/31/2010,4,3,4/14/2010,B,Other,6,PUBLIC,1,6,8,753,I,0.167,0,Science,EXISTING,30,33,1830,2,4/28/2010,9/10/2010,293,158,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.039840637,0.909090909,3,M-L,1
17,SG,8,8,VA,0,5,A,2/15/2011,2/19/2011,9/24/2010,NA,1805,16,4,0.552,4/15/2010,8/31/2010,5,2,4/14/2010,B,Other,6,PUBLIC,1,6,8,626,N,0.345,0,Science,EXISTING,29,31,1805,2,4/24/2010,8/30/2010,297,169,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.046325879,0.935483871,2,M-L,1
18,SG,8,8,VA,0,5,A,2/15/2011,2/19/2011,10/15/2010,NA,1880,5,1,0.556,4/15/2010,9/2/2010,1,1,4/14/2010,B,Other,7,PUBLIC,1,6,8,467,H,0.444,0,Science,EXISTING,9,10,1880,2,5/4/2010,9/14/2010,287,154,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,S,1,0.019271949,0.9,1,S-M,1
19,HD,8,8,IA,0,3,A,2/16/2011,2/19/2011,10/15/2010,NA,1393,25,2,0.658,2/4/2010,8/23/2010,3,3,2/5/2010,B,Other,10,PUBLIC,1,6,8,360,K,0.395,0,East Coast,EXISTING,38,41,1393,1,9/2/2010,9/2/2010,167,167,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.105555556,0.926829268,3,S-M,1
20,HD,8,8,LA,0,4,A,2/16/2011,2/19/2011,10/1/2010,NA,1271,33,9,0.733,3/30/2010,10/5/2010,9,5,3/30/2010,C,Other,1,PUBLIC,1,5,7,345,E,0.311,0,East Coast,NEW,45,50,1271,2,4/21/2010,9/17/2010,301,152,Middle,Middle,Middle->Middle,February,Elementary,Middle,Elementary->Middle,H,1,0.130434783,0.9,5,S-M,1
21,HD,8,8,MI,0,5,B,2/16/2011,2/20/2011,10/15/2010,NA,812,34,5,0.453,2/11/2010,8/30/2010,8,5,2/10/2010,B,Other,10,PUBLIC,1,6,8,664,M,0.213,0,East Coast,EXISTING,75,80,812,1,9/14/2010,9/14/2010,155,155,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.112951807,0.9375,5,M-L,1
22,SG,11,12,NY,1,7,A,2/16/2011,2/22/2011,10/29/2010,NA,2785,13,2,0.619,11/13/2009,9/13/2010,2,2,11/7/2009,A,Other,6,PUBLIC,1,9,12,1693,P,0.286,0,Science,EXISTING,21,23,2785,2,9/23/2010,9/30/2010,146,139,High,High,High->High,February,High,High,High->High,S,0,0.012404017,0.913043478,2,L,1
23,HVP,7,7,NC,0,3,B,2/17/2011,2/19/2011,10/15/2010,NA,386,56,9,0.359,NA,8/23/2010,8,7,8/17/2010,,Other,7,PUBLIC,1,,NA,,P1,0.173,0,East Coast,NEW,156,163,386,1,9/22/2010,9/22/2010,148,148,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1,NA,0.957055215,7,,1
24,HD,8,8,OH,0,3,B,2/17/2011,2/20/2011,11/1/2010,NA,718,19,4,0.5,3/3/2010,8/30/2010,6,5,3/2/2010,A,Other,10,PUBLIC,1,6,8,760,N,0.105,0,East Coast,EXISTING,38,43,718,1,9/2/2010,9/2/2010,168,168,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.05,0.88372093,5,M-L,1
25,HD,7,7,MN,0,4,A,2/17/2011,2/20/2011,11/1/2010,FR,1362,15,0,0.75,3/4/2010,8/27/2010,1,2,3/4/2010,C,Other,10,PUBLIC,1,7,8,641,K,0.2,0,East Coast,EXISTING,20,22,1362,1,9/16/2010,9/16/2010,154,154,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.031201248,0.909090909,2,M-L,1
26,HD,8,8,TX,0,4,A,2/17/2011,2/20/2011,10/5/2010,NA,1629,53,4,0.747,3/1/2010,8/30/2010,4,5,2/27/2010,,Dallas,5,CHD,1,PK,12,700,H,0.127,0,East Coast,EXISTING,71,76,1629,1,9/10/2010,9/10/2010,160,160,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.101428571,0.934210526,5,M-L,1
27,HD,8,8,AR,0,4,A,2/17/2011,2/21/2011,10/15/2010,NA,1899,9,1,0.818,1/22/2010,9/15/2010,0,1,1/22/2010,,Other,5,Private non-Christian,1,PK,12,1300,P,0.182,0,East Coast,EXISTING,11,12,1899,1,9/22/2010,9/22/2010,148,148,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.008461538,0.916666667,1,L,1
28,HD,8,8,MI,0,5,B,2/18/2011,2/22/2011,10/29/2010,NA,662,50,3,0.27,4/5/2010,9/13/2010,5,12,2/18/2010,A,Other,5,PUBLIC,1,6,8,685,O,0.011,0,East Coast,EXISTING,185,197,662,1,9/27/2010,9/27/2010,144,144,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.270072993,0.939086294,12,M-L,1
29,HD,NA,NA,MI,0,4,B,2/18/2011,2/22/2011,10/29/2010,NA,684,27,5,0.5,4/20/2010,8/26/2010,9,4,3/22/2010,A,Other,5,PUBLIC,1,6,8,702,Q,0.019,0,East Coast,EXISTING,54,58,684,2,9/14/2010,9/23/2010,157,148,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0,0.076923077,0.931034483,4,M-L,1
30,HD,NA,NA,MI,0,4,B,2/18/2011,2/22/2011,10/29/2010,NA,677,39,1,0.52,4/20/2010,8/17/2010,4,6,3/22/2010,A,Other,5,PUBLIC,1,6,8,698,Q,0.107,0,East Coast,EXISTING,75,81,677,1,10/7/2010,10/7/2010,134,134,Undefined,Undefined,Undefined->Undefined,February,Middle,Middle,Middle->Middle,H,0,0.107449857,0.925925926,6,M-L,1
31,HD,8,8,MI,0,5,B,2/18/2011,2/22/2011,10/1/2010,NA,726,27,1,0.587,3/15/2010,9/7/2010,3,4,3/12/2010,A,Other,5,PUBLIC,1,6,8,604,Q,0.196,0,East Coast,EXISTING,46,50,726,2,5/13/2010,9/21/2010,281,150,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.07615894,0.92,4,M-L,1
32,HD,8,8,IL,0,3,A,2/19/2011,2/21/2011,10/1/2010,NA,1115,78,5,0.796,4/8/2010,8/11/2010,7,10,1/27/2010,A,Other,10,PUBLIC,0,6,8,597,Q,0.337,0,East Coast,EXISTING,98,108,1115,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.164154104,0.907407407,10,M-L,1
33,HD,8,8,OH,1,3,A,2/19/2011,2/21/2011,10/15/2010,NA,1186,10,0,0.833,2/11/2010,8/20/2010,0,1,2/11/2010,,Other,10,Catholic,0,K,8,500,J,0,0,East Coast,EXISTING,12,13,1186,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,1,0.024,0.923076923,1,S-M,1
34,HD,7,8,IL,0,3,A,2/19/2011,2/21/2011,10/23/2010,NA,999,12,0,0.857,2/15/2010,8/27/2010,0,2,2/16/2010,B,Other,10,PUBLIC,1,7,8,320,L,0.286,0,East Coast,EXISTING,14,16,999,1,9/14/2010,9/14/2010,158,158,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,0,0.04375,0.875,2,S,1
35,HD,8,8,IN,0,3,A,2/19/2011,2/21/2011,10/20/2010,NA,1174,28,5,0.718,3/3/2010,8/10/2010,7,4,3/2/2010,A,Other,5,PUBLIC,1,7,8,794,P,0.308,0,East Coast,EXISTING,39,43,1174,1,8/18/2010,8/18/2010,185,185,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.049118388,0.906976744,4,M-L,1
36,HD,8,8,IN,0,3,A,2/19/2011,2/21/2011,10/20/2010,NA,1174,72,13,0.686,3/2/2010,8/10/2010,15,7,3/2/2010,A,Other,5,PUBLIC,1,7,8,955,P,0.229,0,East Coast,EXISTING,105,112,1174,1,8/18/2010,8/18/2010,185,185,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.109947644,0.9375,7,L,1
37,HD,8,8,IN,0,3,A,2/19/2011,2/21/2011,10/20/2010,NA,1174,37,3,0.804,3/3/2010,8/10/2010,3,3,3/2/2010,A,Other,10,PUBLIC,1,7,8,966,P,0.283,0,East Coast,EXISTING,46,49,1174,1,8/17/2010,8/17/2010,186,186,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.047619048,0.93877551,3,L,1
38,SM,6,8,CA,0,5,A,2/19/2011,2/23/2011,10/15/2010,NA,2202,21,1,0.84,4/5/2010,8/17/2010,1,2,4/2/2010,,Northern California,4,Private non-Christian,1,PK,8,321,Q,0.36,0,Science,NEW,25,27,2202,1,8/31/2010,8/31/2010,172,172,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,S,0,0.07788162,0.925925926,2,S,1
39,HC,8,8,CA,0,6,A,2/19/2011,2/24/2011,10/15/2010,NA,2631,97,30,0.669,2/4/2010,9/1/2010,37,14,1/19/2010,B,Southern California,5,PUBLIC,1,7,12,2393,Q,0.2,0,East Coast,EXISTING,145,159,2631,2,5/11/2010,10/7/2010,284,135,Middle,Middle,Middle->Middle,February,Middle,High,Middle->High,H,1,0.060593397,0.911949686,14,L,1
40,HD,8,8,CA,0,5,A,2/19/2011,2/24/2011,10/15/2010,NA,2049,43,3,0.606,2/25/2010,8/24/2010,5,9,2/24/2010,A,Northern California,5,PUBLIC,1,6,8,783,Q,0.268,1,East Coast,EXISTING,71,80,2049,1,9/9/2010,9/9/2010,163,163,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.090676884,0.8875,9,M-L,1
41,HD,8,8,CA,0,6,A,2/19/2011,2/24/2011,10/15/2010,NA,2469,14,2,0.778,3/10/2010,8/31/2010,2,1,3/10/2010,,Northern California,7,PUBLIC,1,,NA,,,0,0,East Coast,EXISTING,18,19,2469,2,5/21/2010,10/5/2010,274,137,Middle,Middle,Middle->Middle,February,Undefined,Undefined,Undefined->Undefined,H,1,NA,0.947368421,1,,1
42,HC,8,8,CA,0,6,A,2/19/2011,2/25/2011,10/15/2010,NA,2366,36,4,0.75,2/8/2010,8/23/2010,3,3,1/30/2010,B,Northern California,5,PUBLIC,1,6,8,700,P3,0.146,0,East Coast,EXISTING,48,51,2366,2,3/10/2010,9/2/2010,346,170,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.068571429,0.941176471,3,M-L,1
43,HC,8,8,CA,1,6,A,2/20/2011,2/25/2011,10/25/2010,NA,2559,37,8,0.617,5/7/2010,8/19/2010,11,7,5/7/2010,A,Northern California,5,PUBLIC,1,6,8,700,Q,0.233,0,East Coast,EXISTING,60,67,2559,1,10/1/2010,10/1/2010,142,142,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.085714286,0.895522388,7,M-L,0
44,HC,8,8,CA,0,6,A,2/20/2011,2/25/2011,9/30/2010,NA,2907,18,3,0.667,1/28/2010,9/2/2010,5,3,1/27/2010,A,Northern California,4,PUBLIC,1,3,5,430,Q,0.222,0,East Coast,EXISTING,27,30,2907,2,5/17/2010,9/14/2010,279,159,Middle,Middle,Middle->Middle,February,Elementary,Elementary,Elementary->Elementary,H,1,0.062790698,0.9,3,S-M,1
45,HC,7,8,CA,0,7,A,2/20/2011,2/26/2011,10/5/2010,NA,2949,31,1,0.775,3/4/2010,8/24/2010,0,4,3/3/2010,,Southern California,5,Private non-Christian,1,K,8,562,P,0.175,0,East Coast,EXISTING,40,44,2949,2,9/30/2010,1/13/2011,143,38,Middle,Middle,Middle->Middle,February,K,Middle,K->Middle,H,0,0.071174377,0.909090909,4,S-M,1
46,CD,8,8,TX,0,5,A,2/21/2011,2/25/2011,10/15/2010,FR,1399,25,0,0.758,3/26/2010,8/26/2010,0,2,3/26/2010,,Dallas,10,CHD,1,PK,12,522,L,0.273,0,East Coast,EXISTING,33,35,1399,1,4/13/2010,4/13/2010,314,314,Middle,Middle,Middle->Middle,February,PK,High,PK->High,C,1,0.063218391,0.942857143,2,S-M,1
47,HN,NA,NA,OH,0,4,B,2/21/2011,2/25/2011,11/10/2010,NA,1190,19,3,0.826,NA,9/21/2010,2,3,9/20/2010,A,Other,9,PUBLIC,0,9,12,364,M,0.174,0,East Coast,NEW,23,26,1190,0,NA,NA,NA,NA,Undefined,Undefined,Undefined->Undefined,February,High,High,High->High,H,0,0.063186813,0.884615385,3,S-M,0
48,HD,8,8,OH,0,3,A,2/22/2011,2/24/2011,6/1/2010,SA,935,4,0,0.121,5/25/2010,5/25/2010,2,3,5/5/2010,A,Other,10,PUBLIC,1,7,8,351,M,0,0,East Coast,EXISTING,33,36,935,1,9/14/2011,9/14/2011,-204,-204,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.094017094,0.916666667,3,S-M,1
49,HD,8,8,CA,0,5,A,2/22/2011,2/26/2011,10/22/2010,NA,2077,2,3,0.5,5/19/2010,9/3/2010,3,1,5/12/2010,A,Northern California,5,PUBLIC,1,6,8,1306,Q,0,0,East Coast,EXISTING,4,5,2077,2,9/14/2010,9/30/2010,161,145,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.003062787,0.8,1,L,1
50,HD,8,8,CA,0,5,A,2/22/2011,2/26/2011,10/22/2010,NA,2077,8,6,0.727,5/19/2010,9/3/2010,4,1,5/12/2010,A,Northern California,5,PUBLIC,1,6,8,1008,Q,0.273,0,East Coast,EXISTING,11,12,2077,1,9/30/2010,9/30/2010,145,145,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.010912698,0.916666667,1,L,0
51,HS,4,4,CA,0,3,A,2/23/2011,2/25/2011,9/24/2010,NA,874,9,0,0.563,4/5/2010,8/24/2010,0,1,3/3/2010,,Southern California,5,Private non-Christian,0,PK,8,652,O,0.125,1,CA History,EXISTING,16,17,874,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,February,PK,Middle,PK->Middle,H,1,0.024539877,0.941176471,1,M-L,1
52,HD,8,8,WI,0,4,A,2/23/2011,2/26/2011,10/5/2010,NA,1138,70,7,0.636,4/20/2010,8/19/2010,10,13,3/9/2010,A,Other,4,PUBLIC,1,3,6,240,M,0.355,0,East Coast,EXISTING,110,123,1138,1,9/28/2010,9/28/2010,148,148,Middle,Middle,Middle->Middle,February,Elementary,Middle,Elementary->Middle,H,1,0.458333333,0.894308943,13,S,1
53,HD,8,8,FL,0,4,A,2/23/2011,2/26/2011,11/1/2010,NA,1310,43,0,0.573,2/11/2010,8/4/2010,0,7,2/10/2010,,Other,5,Private non-Christian,0,PK,12,850,L,0.147,0,East Coast,EXISTING,75,82,1310,0,NA,NA,NA,NA,Middle,Middle,Middle->Middle,February,PK,High,PK->High,H,1,0.088235294,0.914634146,7,L,1
54,HD,8,8,TX,0,4,A,2/24/2011,2/27/2011,10/8/2010,NA,1550,44,6,0.898,4/1/2010,8/11/2010,7,2,3/20/2010,C,Houston,10,PUBLIC,1,7,8,880,E,0.388,0,East Coast,EXISTING,49,51,1550,1,9/15/2010,9/15/2010,162,162,Middle,Middle,Middle->Middle,February,Middle,Middle,Middle->Middle,H,1,0.055681818,0.960784314,2,L,1
55,HD,8,8,IL,0,4,A,2/24/2011,2/27/2011,10/1/2010,NA,1149,20,2,0.87,3/26/2010,8/26/2010,3,4,3/26/2010,,Other,5,Catholic,1,PK,8,650,Q,0.217,0,East Coast,NEW,23,27,1149,2,4/13/2010,9/23/2010,317,154,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,H,1,0.035384615,0.851851852,4,M-L,1
56,SG,7,NA,MO,0,3,A,2/26/2011,2/28/2011,11/15/2010,NA,1188,11,6,0.846,NA,9/23/2010,6,1,9/23/2010,A,Other,6,PUBLIC,1,6,7,565,O,0,0,Science,NEW,13,14,1188,1,10/14/2010,10/14/2010,135,135,Middle,Undefined,Middle->Undefined,February,Middle,Middle,Middle->Middle,S,0,0.02300885,0.928571429,1,S-M,1
57,CD,11,12,AZ,0,6,A,2/26/2011,3/4/2011,10/1/2010,NA,2154,4,2,0.5,2/18/2010,8/30/2010,2,1,2/18/2010,,Other,5,CHD,1,PK,12,1325,K,0.25,1,East Coast,EXISTING,8,9,2154,1,8/26/2010,8/26/2010,184,184,High,High,High->High,February,PK,High,PK->High,C,0,0.006037736,0.888888889,1,L,1
58,CD,8,8,ID,0,5,A,2/28/2011,3/4/2011,10/1/2010,FR,1684,11,2,0.579,3/18/2010,9/1/2010,2,1,3/17/2010,,Other,5,CHD,1,PK,8,412,H,0.368,1,East Coast,EXISTING,19,20,1684,1,8/23/2010,8/23/2010,189,189,Middle,Middle,Middle->Middle,February,PK,Middle,PK->Middle,C,1,0.046116505,0.95,1,S-M,1
59,HD,8,8,TN,0,4,A,3/1/2011,3/4/2011,11/12/2010,FR,1163,46,3,0.697,2/15/2010,8/12/2010,3,7,2/16/2010,,Other,10,CHD,1,PK,12,750,K,0.136,0,East Coast,EXISTING,66,73,1163,1,8/17/2010,8/17/2010,196,196,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.088,0.904109589,7,M-L,1
60,HD,9,9,WI,0,5,A,3/1/2011,3/5/2011,10/28/2010,CP,1321,37,4,0.638,3/29/2010,9/3/2010,7,4,3/23/2010,B,Other,10,PUBLIC,1,7,9,824,G,0.31,0,East Coast,EXISTING,58,62,1321,1,9/8/2010,9/8/2010,174,174,High,High,High->High,March,Middle,High,Middle->High,H,1,0.07038835,0.935483871,4,L,1
61,HG,4,4,CA,1,3,A,3/2/2011,3/4/2011,10/15/2010,SA,808,0,0,0,NA,9/24/2010,1,1,1/16/2010,,Southern California,4,Private non-Christian,0,PK,6,230,O,0,1,CA History,EXISTING,45,46,808,0,NA,NA,NA,NA,Elementary,Elementary,Elementary->Elementary,March,PK,Middle,PK->Middle,H,1,0.195652174,0.97826087,1,S,0
62,HD,8,8,KS,0,3,A,3/2/2011,3/5/2011,10/15/2010,NA,1460,38,1,0.576,4/14/2010,8/26/2010,2,4,4/14/2010,,Other,5,Private non-Christian,1,PK,12,1023,Z,0.167,0,East Coast,EXISTING,66,70,1460,1,9/20/2010,9/20/2010,163,163,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.064516129,0.942857143,4,L,1
63,HC,9,12,AL,0,4,A,3/3/2011,3/6/2011,1/22/2011,CP,1589,2,3,0.167,NA,9/23/2010,4,1,9/22/2010,C,Other,8,PUBLIC,1,9,12,1688,G,0,0,East Coast,NEW,12,13,1589,1,10/7/2010,10/7/2010,147,147,High,High,High->High,March,High,High,High->High,H,0,0.007109005,0.923076923,1,L,0
64,HD,7,8,MN,1,4,A,3/3/2011,3/6/2011,10/29/2010,NA,1477,12,1,0.571,1/22/2010,1/22/2010,2,1,1/14/2010,,Other,10,Catholic,1,PK,8,200,N,0.143,0,East Coast,EXISTING,21,22,1477,1,2/4/2010,2/4/2010,392,392,Middle,Middle,Middle->Middle,March,PK,Middle,PK->Middle,H,0,0.105,0.954545455,1,S,0
65,HD,8,8,MS,0,3,B,3/3/2011,3/7/2011,10/22/2010,NA,851,50,1,0.746,NA,8/24/2010,1,4,5/21/2010,,Other,10,Private non-Christian,1,PK,12,1555,Z,0.149,0,East Coast,EXISTING,67,71,851,1,9/3/2010,9/3/2010,181,181,Middle,Middle,Middle->Middle,March,PK,High,PK->High,H,1,0.043086817,0.943661972,4,L,1
