LOCATION,INTERSECTION,DAY,START TIME,END TIME,START DATE,END DATE,WEBSITE,TYPE,LINK ACCEPTED,LATITUDE,LONGITUDE,MAP
Pullman,111th & Cottage Grove,Wednesday,7:00 AM,1:00 PM,07/08/2015,10/28/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.69182489,-87.61006528,"(41.69182489, -87.61006528)"
Willis Tower Plaza,233 S. Wacker Drive,Thursday,7:00 AM,3:00 PM,06/25/2015,10/29/2015,http://chicagofarmersmarkets.us,Downtown,Y,41.87734375,-87.63661967,"(41.87734375, -87.63661967)"
West Humboldt Park,3601 W. Chicago Ave.,Saturday,10:00 AM,2:00 PM,06/27/2015,09/26/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.89527979,-87.71657105,"(41.89527979, -87.71657105)"
Englewood/ Anchor House,71st & Racine,Saturday,8:00 AM,1:00 PM,06/27/2015,10/03/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.765042,-87.6541122,"(41.765042, -87.6541122)"
Ford City,7601 S. Cicero Ave.,Wednesday,8:00 AM,1:00 PM,07/08/2015,09/30/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.7536343,-87.7331374,"(41.7536343, -87.7331374)"
Bronzeville,Dr. Martin Luther King Jr. Dr. & 26th St.,Saturday,10:00 AM,2:00 PM,,,http://chicagofarmersmarkets.us,Neighborhood,Y,41.8451793,-87.6180851,"(41.8451793, -87.6180851)"
Perry Avenue Community Market,5749 S. Perry Ave.,Sunday,10:00 AM,2:00 PM,06/28/2015,09/27/2015,http://chicagofarmersmarkets.us,Neighborhood,Y,41.7895449,-87.627372,"(41.7895449, -87.627372)"
Chicago Botanic Garden's Windy City Harvest (Washington Park),555 E. 51st St.,Wednesday,9:00 AM,1:00 PM,07/08/2015,10/07/2015,http://chicagobotanic.org/urbanagriculture,Independent,Y,41.8013958,-87.6123864,"(41.8013958, -87.6123864)"
Green City Market - Lincoln Park,1800 N. Clark St. (South end of Lincoln Park),Saturday,7:00 AM,1:00 PM,05/02/2015,10/31/2015,http://greencitymarket.org,Independent,Y,41.9149395,-87.6342005,"(41.9149395, -87.6342005)"
The Urban Islander's Market,Treasure Island Foods 2121 N. Clybourn Ave.,Wednesday,3:00 PM,8:00 PM,05/13/2015,09/30/2015,http://tifoods.com/urbanislandersmarket,Independent,Y,41.920092,-87.6619038,"(41.920092, -87.6619038)"
Growing Home's Wood St. Farm Stand,5814 S. Wood St.,Wednesday,11:00 AM,4:00 PM,04/22/2015,10/28/2015,http://growinghomeinc.org/our-farms/,Independent,Y,41.787897,-87.669475,"(41.787897, -87.669475)"
South Loop Farmers Market,1936 S. Michigan Ave.,Thursday,4:00 PM,8:00 PM,06/25/2015,10/15/2015,http://southloopfarmersmarket.com,Independent,N,41.8557577,-87.6243496,"(41.8557577, -87.6243496)"
Lincoln Square Thursday Evening Farmers Market,2301 W. Leland Ave.,Thursday,4:00 PM,8:00 PM,06/04/2015,10/29/2015,http://LincolnSquareRavenswood.org,Independent,N,41.9668208,-87.6875001,"(41.9668208, -87.6875001)"
Glenwood Sunday Market,6900 N. Glenwood Ave.,Sunday,9:00 AM,2:00 PM,06/07/2015,10/25/2015,http://glenwoodsundaymarket.org,Independent,Y,42.0083615,-87.6663239,"(42.0083615, -87.6663239)"
61st Street Farmers Market,6100 S. Blackstone Ave.,Saturday,9:00 AM,2:00 PM,05/16/2015,10/31/2015,http://experimentalstation.org/farmers-market,Independent,Y,41.78407,-87.590568,"(41.78407, -87.590568)"
Logan Square Farmers Market,3107 W. Logan Blvd.,Sunday,10:00 AM,3:00 PM,05/17/2015,10/25/2015,http://logansquarefarmersmarket.org,Independent,Y,41.9279548,-87.7052487,"(41.9279548, -87.7052487)"
Wicker Park Farmers Market,1425 N. Damen Ave.,Sunday,8:00 AM,2:00 PM,06/14/2015,10/25/2015,http://wickerparkbucktown.com/farmers-market/about,Independent,Y,41.9080486,-87.676738,"(41.9080486, -87.676738)"
Seaway Bank Farmers Market,87th Street and Langley Ave. (SE corner),Wednesday,9:00 AM,2:00 PM,07/22/2015,09/23/2015,http://seawaybank.us,Independent,Y,41.7366468,-87.6072612,"(41.7366468, -87.6072612)"
Horner Park Farmers Market,2741 W. Montrose Ave.,Saturday,9:00 AM,1:00 PM,06/06/2015,10/03/2015,http://farmersmarket.hornerpark.org,Independent,N,41.960554,-87.6977103,"(41.960554, -87.6977103)"
Loyola Farmers Market,1200 W. Loyola Ave. (Loyola Red Line stop),Monday,3:00 PM,7:00 PM,06/08/2015,09/21/2015,http://blogs.luc.edu/farmersmarket/,Independent,Y,42.0008961,-87.6607393,"(42.0008961, -87.6607393)"
Loyola Farmers Market,1200 W. Loyola Ave. (Loyola Red Line stop),Monday,2:30 PM,6:30 PM,09/28/2015,10/12/2015,http://blogs.luc.edu/farmersmarket/,Independent,Y,42.0008961,-87.6607393,"(42.0008961, -87.6607393)"
Jefferson Park Sunday Market (2nd and 4th Sundays),4800 N. Long Ave.,Sunday,9:30 AM,1:30 PM,06/14/2015,10/25/2015,http://JeffersonParkSundayMarket.com,Independent,N,41.9676712,-87.7625765,"(41.9676712, -87.7625765)"
Pilsen Community Market,1800 S. Halsted (Byline Bank parking lot),Sunday,9:00 AM,2:00 PM,05/31/2015,10/25/2015,http://pilsencommunitymarket.org,Independent,Y,41.8578369,-87.6469366,"(41.8578369, -87.6469366)"
Green City Market - Lincoln Park,1800 N. Clark St. (South end of Lincoln Park),Wednesday,7:00 AM,1:00 PM,05/06/2015,10/28/2015,http://greencitymarket.org,Independent,Y,41.9149395,-87.6342005,"(41.9149395, -87.6342005)"
Lowline Market,Southport Brown Line station auxiliary exit (3410 N. Southport),Thursday,3:00 PM,8:00 PM,06/04/2015,09/03/2015,http://lakeviewchamber.com/ssa-27/low-line-market-.aspx,Independent,N,41.943836,-87.66392,"(41.943836, -87.66392)"
Lowline Market,Southport Brown Line station auxiliary exit (3410 N. Southport),Thursday,3:00 PM,7:00 PM,09/10/2015,10/08/2015,http://lakeviewchamber.com/ssa-27/low-line-market-.aspx,Independent,N,41.943836,-87.66392,"(41.943836, -87.66392)"
Weiss Uptown Farmers Market,4646 N. Marine Dr.,Thursday,7:00 AM,1:00 PM,06/04/2015,10/22/2015,http://weisshospital.com,Independent,Y,41.9664324,-87.6493557,"(41.9664324, -87.6493557)"
Edgewater Farmers Market,1200 W. Norwood St.,Saturday,8:00 AM,1:00 PM,06/13/2015,08/17/2015,http://edgewater.org,Independent,N,41.9918134,-87.6603395,"(41.9918134, -87.6603395)"
Roseland Community Farmers Market,11400 S. Michigan Ave.,Saturday,10:00 AM,3:00 PM,04/25/2015,08/28/2015,,Independent,Y,41.686898,-87.621256,"(41.686898, -87.621256)"
Green City Market - Fulton,Fulton & Halsted,Saturday,7:00 AM,1:00 PM,06/06/2015,10/31/2015,http://greencitymarket.org,Independent,Y,41.88679,-87.6475031,"(41.88679, -87.6475031)"
